iteration,bin id,filling rate,leveltime since last pick up
0,bin#4,9,15,24
0,bin#5,3,38,24
0,bin#6,6,34,24
0,bin#7,1,15,24
0,bin#8,7,36,24
0,bin#11,5,32,24
0,bin#12,4,44,24
0,bin#13,1,26,24
0,bin#14,3,33,24
0,bin#15,6,32,24
0,bin#16,9,21,24
0,bin#17,2,30,24
0,bin#18,8,16,24
0,bin#19,3,32,24
0,bin#20,4,13,24
0,bin#21,5,32,24
0,bin#22,6,19,24
0,bin#23,3,18,24
0,bin#24,1,44,24
0,bin#25,6,35,24
0,bin#26,9,16,24
0,bin#27,1,45,24
0,bin#28,8,39,24
0,bin#29,8,33,24
0,bin#31,2,24,24
0,bin#32,5,49,24
0,bin#33,6,21,24
0,bin#34,8,41,24
0,bin#35,10,46,24
0,bin#36,4,21,24
0,bin#40,9,34,24
5,bin#1,10,50,47.99999999999999
5,bin#2,5,28,47.99999999999999
5,bin#3,3,20,47.99999999999999
5,bin#4,9,45,24.0
5,bin#5,3,15,24.0
5,bin#6,6,30,24.0
5,bin#8,7,35,24.0
5,bin#9,9,50,47.99999999999999
5,bin#10,5,33,47.99999999999999
5,bin#11,5,25,24.0
5,bin#12,4,20,24.0
5,bin#14,3,15,24.0
5,bin#15,6,30,24.0
5,bin#16,9,45,24.0
5,bin#18,8,40,24.0
5,bin#19,3,15,24.0
5,bin#20,4,20,24.0
5,bin#21,5,25,24.0
5,bin#22,6,30,24.0
5,bin#23,3,15,24.0
5,bin#25,6,30,24.0
5,bin#26,9,45,24.0
5,bin#28,8,40,24.0
5,bin#29,8,40,24.0
5,bin#30,1,17,47.99999999999999
5,bin#32,5,25,24.0
5,bin#33,6,30,24.0
5,bin#34,8,40,24.0
5,bin#35,10,50,24.0
5,bin#36,4,20,24.0
5,bin#37,2,22,47.99999999999999
5,bin#38,2,16,47.99999999999999
5,bin#39,3,25,47.99999999999999
5,bin#40,9,45,24.0
10,bin#1,10,50,24.0
10,bin#2,5,25,24.0
10,bin#3,3,15,24.0
10,bin#4,9,45,24.0
10,bin#5,3,15,24.0
10,bin#6,6,30,24.0
10,bin#8,7,35,24.0
10,bin#9,9,45,24.0
10,bin#10,5,25,24.0
10,bin#11,5,25,24.0
10,bin#12,4,20,24.0
10,bin#14,3,15,24.0
10,bin#15,6,30,24.0
10,bin#16,9,45,24.0
10,bin#17,2,20,47.99999999999999
10,bin#18,8,40,24.0
10,bin#19,3,15,24.0
10,bin#20,4,20,24.0
10,bin#21,5,25,24.0
10,bin#22,6,30,24.0
10,bin#23,3,15,24.0
10,bin#25,6,30,24.0
10,bin#26,9,45,24.0
10,bin#28,8,40,24.0
10,bin#29,8,40,24.0
10,bin#31,2,20,47.99999999999999
10,bin#32,5,25,24.0
10,bin#33,6,30,24.0
10,bin#34,8,40,24.0
10,bin#35,10,50,24.0
10,bin#36,4,20,24.0
10,bin#39,3,15,24.0
10,bin#40,9,45,24.0
15,bin#1,10,50,24.0
15,bin#2,5,25,24.0
15,bin#3,3,15,24.0
15,bin#4,9,45,24.0
15,bin#5,3,15,24.0
15,bin#6,6,30,24.0
15,bin#7,1,15,71.99999999999999
15,bin#8,7,35,24.0
15,bin#9,9,45,24.0
15,bin#10,5,25,24.0
15,bin#11,5,25,24.0
15,bin#12,4,20,24.0
15,bin#13,1,15,71.99999999999999
15,bin#14,3,15,24.0
15,bin#15,6,30,24.0
15,bin#16,9,45,24.0
15,bin#18,8,40,24.0
15,bin#19,3,15,24.0
15,bin#20,4,20,24.0
15,bin#21,5,25,24.0
15,bin#22,6,30,24.0
15,bin#23,3,15,24.0
15,bin#24,1,15,71.99999999999999
15,bin#25,6,30,24.0
15,bin#26,9,45,24.0
15,bin#27,1,15,71.99999999999999
15,bin#28,8,40,24.0
15,bin#29,8,40,24.0
15,bin#32,5,25,24.0
15,bin#33,6,30,24.0
15,bin#34,8,40,24.0
15,bin#35,10,50,24.0
15,bin#36,4,20,24.0
15,bin#37,2,20,47.99999999999999
15,bin#38,2,20,47.99999999999999
15,bin#39,3,15,24.0
15,bin#40,9,45,24.0
20,bin#1,10,50,24.0
20,bin#2,5,25,24.0
20,bin#3,3,15,24.0
20,bin#4,9,45,24.0
20,bin#5,3,15,24.0
20,bin#6,6,30,24.0
20,bin#8,7,35,24.0
20,bin#9,9,45,24.0
20,bin#10,5,25,24.0
20,bin#11,5,25,24.0
20,bin#12,4,20,24.0
20,bin#14,3,15,24.0
20,bin#15,6,30,24.0
20,bin#16,9,45,24.0
20,bin#17,2,20,47.99999999999999
20,bin#18,8,40,24.0
20,bin#19,3,15,24.0
20,bin#20,4,20,24.0
20,bin#21,5,25,24.0
20,bin#22,6,30,24.0
20,bin#23,3,15,24.0
20,bin#25,6,30,24.0
20,bin#26,9,45,24.0
20,bin#28,8,40,24.0
20,bin#29,8,40,24.0
20,bin#30,1,15,71.99999999999999
20,bin#31,2,20,47.99999999999999
20,bin#32,5,25,24.0
20,bin#33,6,30,24.0
20,bin#34,8,40,24.0
20,bin#35,10,50,24.0
20,bin#36,4,20,24.0
20,bin#39,3,15,24.0
20,bin#40,9,45,24.0
